DIR,YAML_FULL_PATH,WITHIN_MANIFEST_SECRET,VALID_TAINT_SECRET,SEC_CONT_OVER_PRIVIL,INSECURE_HTTP,NO_SECU_CONTEXT,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,NO_NETWORK_POLICY,TRUE_HOST_PID,TRUE_HOST_IPC,DOCKERSOCK_PATH,TRUE_HOST_NET,CAP_SYS_ADMIN,HOST_ALIAS,ALLOW_PRIVI,SECCOMP_UNCONFINED,CAP_SYS_MODULE,K8S_STATUS,HELM_STATUS
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/services/monolith.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/docs/tutorials/hello-tye/postgres.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/docs/tutorials/hello-tye/redis.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/docs/recipes/zipkin.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/samples/dapr/pub-sub/components/pubsub.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/samples/dapr/pub-sub/components/statestore.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/samples/dockercompose/ingress.yml,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/samples/frontend-backend/frontend-backend-production.example.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/generate-connectionstring-dependency.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/single-project-noregistry.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/generate-uri-dependency.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/health-checks.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
